Actual,Predicted
2168.89990234375,2137.661
2156.51000976563,2140.9858
2164.330078125,2130.9165
2163.3701171875,2140.0293
2155.14990234375,2136.5405
2158.21997070312,2130.49
2164.18994140625,2133.6392
2160.38989257812,2138.0928
2161.35009765625,2134.6497
2137.669921875,2136.2395
2130.26000976562,2113.6162
2139.67993164063,2110.271
2132.94995117187,2116.2856
2138.31005859375,2109.0552
2140.81005859375,2115.6775
2142.51000976562,2116.2449
2139.42993164062,2118.7605
2148.5,2115.6726
2149.71997070313,2124.63
2136.96997070312,2123.7966
2144.06005859375,2113.3784
2132.22998046875,2121.2034
2129.78002929687,2108.1226
2128.67993164062,2108.4602
2109.42993164062,2105.594
2098.80004882812,2088.3677
2083.7900390625,2079.89
2100.59008789062,2065.056
2129.919921875,2081.8801
2131.56005859375,2105.2825
2167.48999023438,2106.1414
2162.7099609375,2142.263
2165.63989257812,2132.5364
2168.2900390625,2141.2327
2177.53002929687,2140.704
2178.61010742187,2150.6636
2186.85009765625,2150.7322
2186.42993164062,2159.4822
2201.56005859375,2158.0117
2198.55004882812,2173.7224
2206.27001953125,2168.1484
2210.2099609375,2177.9744
2200.76000976562,2179.7468
2204.96997070313,2171.8977
2200.169921875,2177.0298
2191.1201171875,2170.6572
2200.64990234375,2163.847
2207.26000976562,2173.298
2210.71997070312,2177.1458
2241.1298828125,2181.2058
2249.72998046875,2209.3386
2258.830078125,2213.5588
2263.32006835937,2225.403
2268.35009765625,2228.294
2253.77001953125,2234.1025
2266.81005859375,2219.569
2259.23999023437,2234.844
2266.5,2223.518
2270.5400390625,2234.1848
2262.92993164062,2234.671
2260.25,2228.9443
2266.22998046875,2227.0771
2270.22998046875,2232.308
2249.5,2235.0557
2251.61010742187,2215.8977
2251.57006835938,2221.28
2261.60009765625,2217.771
2268.17993164062,2228.9097
2271.13989257812,2232.7346
2273.59008789062,2236.783
2269.71997070312,2238.5142
2268.60009765625,2234.7483
2271.13989257812,2234.761
2272.73999023437,2236.156
2269.13989257813,2237.66
2269.13989257813,2234.5786
2271.89990234375,2235.079
2269.9599609375,2237.0276
2267.78002929687,2235.2708
2267.8798828125,2233.7832
2288.8798828125,2233.854
2298.6298828125,2253.3022
2299.02001953125,2259.4775
2286.01000976562,2261.557
2274.02001953125,2249.447
2285.59008789062,2240.5847
2276.68994140625,2251.088
2288.5400390625,2239.8052
2294.28002929687,2254.173
2295.8701171875,2255.734
2289.55004882812,2259.4265
2296.69995117187,2252.7546
2312.27001953125,2260.972
2321.71997070312,2273.3726
2326.1201171875,2281.2913
2335.580078125,2285.5847
2349.63989257812,2295.3442
2343.01000976562,2307.1904
2354.90991210937,2300.2053
2361.11010742187,2314.547
2367.5,2316.5461
2355.72998046875,2324.402
2365.22998046875,2311.9558
2366.080078125,2324.5503
2380.1298828125,2321.1587
2394.75,2336.9287
2380.919921875,2347.1658
2375.22998046875,2334.448
2370.73999023437,2333.1992
2369.81005859375,2326.7507
2363.48999023437,2327.1694
2372.52001953125,2320.248
2371.56005859375,2330.1636
2368.55004882812,2326.291
2370.34008789062,2325.4626
2387.7099609375,2326.653
2383.7099609375,2343.1218
2378.23999023438,2336.6152
2379.32006835937,2334.3774
2343.0,2335.2288
2345.96997070313,2300.495
2350.419921875,2309.22
2329.11010742187,2307.0469
2339.7900390625,2288.8667
2356.5400390625,2301.9365
2361.31005859375,2313.0203
2364.82006835937,2317.6794
2362.34008789062,2321.5693
2354.76000976562,2318.841
2366.59008789062,2312.692
2353.7900390625,2324.7031
2356.59008789063,2309.3655
2357.15991210937,2316.653
2353.919921875,2313.56
2352.14990234375,2312.3813
2341.97998046875,2310.4277
2332.6201171875,2300.7021
2342.53002929688,2293.8684
2346.7900390625,2302.4253
2342.68994140625,2304.3606
2354.73999023437,2301.3716
2370.330078125,2313.3887
2381.51000976563,2325.8176
2388.97998046875,2335.7717
2389.69995117187,2342.758
2393.67993164063,2343.7456
2388.5,2347.9336
2391.05004882812,2342.3955
2386.5,2346.4287
2389.7900390625,2340.506
2392.3701171875,2345.1787
2399.93994140625,2346.0183
2401.580078125,2353.9023
2396.7900390625,2353.875
2394.84008789062,2350.896
2392.43994140625,2349.1292
2393.97998046875,2346.7869
2404.55004882812,2348.8472
2382.94995117187,2357.8657
2354.68994140625,2335.763
2371.3701171875,2314.5945
2387.2099609375,2330.6917
2397.0400390625,2339.721
2401.40991210937,2350.6323
2409.5400390625,2353.8672
2414.5,2362.5168
2411.669921875,2365.7498
2415.6298828125,2363.62
2415.64990234375,2367.938
2431.28002929687,2367.008
2437.830078125,2383.0576
2431.919921875,2385.6248
2432.03002929687,2382.0623
2434.27001953125,2383.0068
2436.38989257812,2384.0652
2425.8798828125,2386.0618
2434.14990234375,2376.0945
2443.75,2385.6812
2424.13989257812,2391.8447
2431.23999023437,2373.3843
2442.55004882812,2384.5603
2450.65991210937,2390.435
2439.31005859375,2398.8005
2437.39990234375,2387.2278
2434.64990234375,2388.5881
2443.32006835937,2384.1106
2436.34008789062,2393.6943
2428.69995117187,2384.4292
2442.3798828125,2380.3027
2429.19995117188,2392.87
2431.38989257812,2377.605
2430.78002929687,2384.4026
2423.43994140625,2379.9612
